,0,1,2,3,4
0,201.19310307502747,100.7131175994873,99.10350251197815,99.452800989151,101.37314510345459
1,163.98544335365295,210.43721914291382,202.62572050094604,208.6605703830719,188.68946480751038
2,112.7462306022644,186.96440863609314,101.47620129585266,100.85430598258972,103.7408287525177
3,175.7878978252411,201.41426038742065,102.7090802192688,103.14645409584045,99.41873264312744
4,208.07152843475342,198.36457300186157,226.41224455833435,225.53363752365112,193.49673509597778
5,165.30638790130615,461.1674311161041,119.12439155578613,137.55563855171204,128.40697979927063
6,152.98706197738647,188.47201323509216,261.9762661457062,264.25058245658875,219.83148980140686
7,129.92954444885254,252.22676014900208,153.8532838821411,186.69175601005554,163.8345263004303
8,150.9996407032013,141.0665638446808,179.33602786064148,215.89475560188293,137.28339385986328
9,198.29952788352966,244.5647542476654,213.9873547554016,199.59873580932617,242.44651436805725
