,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,89.0,0,0.0034777999971993268,"[65, 49, 56, 43, 43, 91, 32, 87, 36, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 14, 70, 42, 66, 47, 68, 94, 45, 87, 84, 84, 45, 69, 87, 36, 75, 35, 93, 39, 16, 60, 98, 18, 15, 96, 91, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 83, 76, 30, 28, 42, 25, 62, 51, 2, 99, 73, 28, 67, 32, 4, 92, 18, 42, 71, 45, 29, 81, 32, 67, 24, 4, 44, 0, 12, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09999650475528479,0.1,1024
1,1,89.0,2,0.008288799988804385,"[65, 49, 56, 43, 43, 91, 32, 87, 36, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 14, 70, 42, 66, 47, 68, 94, 45, 87, 84, 84, 45, 69, 87, 36, 75, 35, 93, 39, 16, 60, 98, 18, 15, 96, 91, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 76, 30, 28, 42, 25, 62, 51, 2, 99, 73, 28, 67, 32, 4, 92, 18, 42, 71, 45, 29, 81, 32, 67, 24, 4, 44, 0, 12, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09999166982460739,0.1,1024
2,2,88.0,4,0.01391809998312965,"[65, 49, 56, 43, 43, 91, 32, 87, 36, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 14, 70, 42, 66, 47, 68, 94, 45, 87, 84, 84, 45, 69, 87, 36, 75, 35, 93, 39, 16, 58, 98, 18, 15, 96, 91, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 76, 30, 28, 42, 25, 62, 51, 2, 99, 73, 28, 67, 32, 4, 92, 18, 42, 71, 45, 29, 81, 32, 67, 24, 4, 44, 0, 12, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.0999860128203699,0.1,1024
3,4,88.0,7,0.020198999991407618,"[65, 49, 56, 43, 43, 91, 32, 87, 36, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 14, 70, 42, 66, 47, 68, 94, 45, 87, 84, 84, 45, 69, 87, 36, 75, 35, 93, 39, 16, 58, 98, 18, 15, 96, 91, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 76, 34, 28, 42, 25, 62, 51, 2, 99, 73, 28, 67, 32, 4, 92, 18, 42, 71, 45, 29, 81, 32, 67, 24, 4, 44, 0, 12, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09997970138706541,0.1,1024
4,8,86.0,14,0.03403129999060184,"[65, 49, 56, 43, 43, 91, 32, 87, 36, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 14, 70, 42, 66, 47, 68, 94, 45, 87, 84, 84, 45, 69, 87, 36, 75, 35, 93, 39, 16, 58, 98, 18, 15, 96, 1, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 76, 71, 28, 42, 25, 62, 51, 2, 99, 73, 28, 67, 32, 4, 92, 18, 42, 71, 45, 29, 81, 5, 67, 24, 4, 44, 0, 12, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09996580324897858,0.1,1024
5,16,84.0,26,0.05536500000744127,"[65, 49, 56, 43, 2, 91, 32, 87, 36, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 36, 70, 42, 66, 47, 68, 94, 45, 87, 84, 84, 45, 69, 87, 36, 75, 35, 93, 39, 16, 58, 98, 18, 15, 96, 1, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 76, 71, 28, 42, 25, 62, 51, 12, 99, 73, 28, 67, 32, 4, 92, 18, 61, 71, 45, 29, 81, 5, 67, 24, 4, 44, 0, 12, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.0999443717937667,0.1,1024
6,32,80.0,49,0.09891549998428673,"[65, 49, 56, 43, 2, 91, 32, 87, 94, 8, 74, 10, 12, 75, 20, 47, 50, 86, 34, 36, 70, 42, 66, 80, 68, 30, 45, 87, 84, 84, 45, 69, 25, 36, 75, 35, 93, 39, 16, 58, 98, 18, 15, 96, 1, 84, 81, 10, 92, 84, 78, 12, 85, 52, 39, 71, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 76, 71, 28, 42, 25, 62, 51, 12, 99, 73, 28, 67, 11, 4, 92, 18, 61, 71, 45, 29, 81, 5, 43, 24, 4, 44, 0, 58, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09990063599915318,0.1,1024
7,64,75.0,97,0.18443299998762086,"[65, 49, 56, 43, 2, 91, 32, 87, 99, 8, 74, 10, 12, 75, 65, 27, 50, 86, 34, 36, 70, 42, 66, 80, 68, 30, 45, 87, 74, 84, 45, 69, 25, 36, 0, 35, 93, 39, 16, 7, 98, 18, 15, 96, 1, 84, 81, 68, 92, 84, 78, 12, 85, 52, 39, 18, 31, 95, 4, 65, 68, 17, 18, 60, 53, 85, 89, 71, 28, 4, 25, 62, 42, 12, 99, 73, 28, 67, 11, 4, 28, 72, 61, 71, 45, 26, 81, 5, 43, 24, 33, 44, 0, 58, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09981481032883555,0.1,1024
8,128,58.0,191,0.3519959999830462,"[65, 49, 56, 43, 2, 91, 32, 87, 99, 8, 74, 24, 12, 75, 65, 27, 50, 86, 34, 36, 70, 42, 78, 80, 68, 5, 45, 87, 74, 84, 79, 69, 87, 36, 75, 35, 47, 39, 16, 4, 98, 18, 15, 96, 1, 87, 81, 68, 92, 72, 78, 25, 34, 52, 39, 90, 31, 95, 4, 51, 68, 17, 89, 60, 53, 85, 89, 71, 28, 87, 25, 62, 58, 12, 50, 73, 25, 67, 11, 4, 0, 38, 61, 71, 45, 26, 81, 5, 43, 98, 33, 3, 76, 19, 36, 48, 5, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09964685721913813,0.1,1024
9,256,40.0,355,0.6479346999840345,"[65, 49, 56, 43, 2, 95, 89, 14, 99, 13, 74, 24, 21, 75, 40, 27, 66, 69, 34, 97, 70, 42, 46, 80, 17, 5, 45, 87, 74, 84, 79, 62, 91, 36, 75, 35, 47, 39, 29, 97, 34, 18, 15, 96, 1, 90, 81, 68, 92, 72, 78, 25, 23, 52, 39, 86, 31, 95, 4, 51, 77, 17, 89, 60, 53, 85, 30, 32, 91, 87, 25, 47, 58, 12, 50, 73, 83, 67, 11, 0, 85, 38, 61, 71, 45, 26, 81, 5, 17, 98, 56, 3, 76, 19, 36, 48, 93, 31, 6, 59]",geometric,0.1,0.99,0.001,0.09935091955251557,0.1,1024
