,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.021164200035855174,18.0,200.0,200,0.25,1024
1,1,0.0530933000263758,5.0,402.0,200,0.25,1024
2,2,0.08590170001843944,3.0,604.0,200,0.25,1024
3,3,0.11650910001480952,2.0,806.0,200,0.25,1024
4,4,0.14599050005199388,2.0,1007.0,200,0.25,1024
5,5,0.1787204000283964,2.0,1208.0,200,0.25,1024
6,6,0.20974850002676249,2.0,1409.0,200,0.25,1024
7,7,0.2407682000193745,2.0,1610.0,200,0.25,1024
8,8,0.26963130000513047,2.0,1811.0,200,0.25,1024
9,9,0.30455550004262477,2.0,2012.0,200,0.25,1024
10,10,0.3360421000397764,2.0,2213.0,200,0.25,1024
11,11,0.3669671000097878,2.0,2414.0,200,0.25,1024
12,12,0.39648990001296625,2.0,2615.0,200,0.25,1024
13,13,0.4300920000532642,2.0,2816.0,200,0.25,1024
14,14,0.463972500001546,2.0,3017.0,200,0.25,1024
15,15,0.4969418000546284,1.0,3219.0,200,0.25,1024
16,16,0.526023400016129,1.0,3420.0,200,0.25,1024
17,17,0.5573358000256121,1.0,3621.0,200,0.25,1024
18,18,0.5875793000450358,1.0,3822.0,200,0.25,1024
19,19,0.6159384000347927,0.0,4024.0,200,0.25,1024
20,0,0.021164200035855174,18.0,200.0,200,0.5,1024
21,1,0.0530933000263758,5.0,402.0,200,0.5,1024
22,2,0.08590170001843944,5.0,603.0,200,0.5,1024
23,3,0.11650910001480952,5.0,804.0,200,0.5,1024
24,4,0.14599050005199388,5.0,1005.0,200,0.5,1024
25,5,0.1787204000283964,5.0,1206.0,200,0.5,1024
26,6,0.20974850002676249,4.0,1408.0,200,0.5,1024
27,7,0.2407682000193745,4.0,1609.0,200,0.5,1024
28,8,0.26963130000513047,4.0,1810.0,200,0.5,1024
29,9,0.30455550004262477,4.0,2011.0,200,0.5,1024
30,10,0.3360421000397764,3.0,2213.0,200,0.5,1024
31,11,0.3669671000097878,2.0,2415.0,200,0.5,1024
32,12,0.39648990001296625,2.0,2616.0,200,0.5,1024
33,13,0.4300920000532642,2.0,2817.0,200,0.5,1024
34,14,0.463972500001546,2.0,3018.0,200,0.5,1024
35,15,0.4969418000546284,2.0,3219.0,200,0.5,1024
36,16,0.526023400016129,2.0,3420.0,200,0.5,1024
37,17,0.5573358000256121,2.0,3621.0,200,0.5,1024
38,18,0.5875793000450358,2.0,3822.0,200,0.5,1024
39,19,0.6159384000347927,2.0,4023.0,200,0.5,1024
40,20,0.020428800024092197,2.0,4224.0,200,0.5,1024
41,21,0.052249400003347546,1.0,4426.0,200,0.5,1024
42,22,0.08463290001964197,1.0,4627.0,200,0.5,1024
43,23,0.12051119998795912,0.0,4829.0,200,0.5,1024
44,0,0.021164200035855174,18.0,200.0,200,0.75,1024
45,1,0.0530933000263758,5.0,402.0,200,0.75,1024
46,2,0.08590170001843944,4.0,604.0,200,0.75,1024
47,3,0.11650910001480952,4.0,805.0,200,0.75,1024
48,4,0.14599050005199388,4.0,1006.0,200,0.75,1024
49,5,0.1787204000283964,3.0,1208.0,200,0.75,1024
50,6,0.20974850002676249,3.0,1409.0,200,0.75,1024
51,7,0.2407682000193745,3.0,1610.0,200,0.75,1024
52,8,0.26963130000513047,3.0,1811.0,200,0.75,1024
53,9,0.30455550004262477,3.0,2012.0,200,0.75,1024
54,10,0.3360421000397764,2.0,2214.0,200,0.75,1024
55,11,0.3669671000097878,2.0,2415.0,200,0.75,1024
56,12,0.39648990001296625,2.0,2616.0,200,0.75,1024
57,13,0.4300920000532642,2.0,2817.0,200,0.75,1024
58,14,0.463972500001546,2.0,3018.0,200,0.75,1024
59,15,0.4969418000546284,2.0,3219.0,200,0.75,1024
60,16,0.526023400016129,2.0,3420.0,200,0.75,1024
61,17,0.5573358000256121,1.0,3622.0,200,0.75,1024
62,18,0.5875793000450358,1.0,3823.0,200,0.75,1024
63,19,0.6159384000347927,0.0,4025.0,200,0.75,1024
64,0,0.021164200035855174,18.0,400.0,400,0.25,1024
65,1,0.0530933000263758,5.0,802.0,400,0.25,1024
66,2,0.08590170001843944,3.0,1204.0,400,0.25,1024
67,3,0.11650910001480952,3.0,1605.0,400,0.25,1024
68,4,0.14599050005199388,3.0,2006.0,400,0.25,1024
69,5,0.1787204000283964,3.0,2407.0,400,0.25,1024
70,6,0.20974850002676249,1.0,2809.0,400,0.25,1024
71,7,0.2407682000193745,1.0,3210.0,400,0.25,1024
72,8,0.26963130000513047,1.0,3611.0,400,0.25,1024
73,9,0.30455550004262477,1.0,4012.0,400,0.25,1024
74,10,0.3360421000397764,1.0,4413.0,400,0.25,1024
75,11,0.3669671000097878,1.0,4814.0,400,0.25,1024
76,12,0.39648990001296625,1.0,5215.0,400,0.25,1024
77,13,0.4300920000532642,1.0,5616.0,400,0.25,1024
78,14,0.463972500001546,1.0,6017.0,400,0.25,1024
79,15,0.4969418000546284,1.0,6418.0,400,0.25,1024
80,16,0.526023400016129,1.0,6819.0,400,0.25,1024
81,17,0.5573358000256121,1.0,7220.0,400,0.25,1024
82,18,0.5875793000450358,1.0,7621.0,400,0.25,1024
83,19,0.6159384000347927,1.0,8022.0,400,0.25,1024
84,20,0.020428800024092197,1.0,8423.0,400,0.25,1024
85,21,0.052249400003347546,1.0,8824.0,400,0.25,1024
86,22,0.08463290001964197,1.0,9225.0,400,0.25,1024
87,23,0.12051119998795912,1.0,9626.0,400,0.25,1024
88,24,0.15064790000906214,1.0,10027.0,400,0.25,1024
89,25,0.1820882000029087,1.0,10428.0,400,0.25,1024
90,26,0.21183550002751872,1.0,10829.0,400,0.25,1024
91,27,0.2435647000093013,1.0,11230.0,400,0.25,1024
92,28,0.274371900013648,1.0,11631.0,400,0.25,1024
93,29,0.3080708000343293,1.0,12032.0,400,0.25,1024
94,30,0.3406933000078425,1.0,12433.0,400,0.25,1024
95,31,0.37412970000877976,1.0,12834.0,400,0.25,1024
96,32,0.4062976000132039,1.0,13235.0,400,0.25,1024
97,33,0.4356915000244044,1.0,13636.0,400,0.25,1024
98,34,0.46594979998189956,1.0,14037.0,400,0.25,1024
99,35,0.4967602000106126,1.0,14438.0,400,0.25,1024
100,36,0.5259081000112928,1.0,14839.0,400,0.25,1024
101,37,0.5561728000175208,0.0,15241.0,400,0.25,1024
102,0,0.021164200035855174,18.0,400.0,400,0.5,1024
103,1,0.0530933000263758,5.0,802.0,400,0.5,1024
104,2,0.08590170001843944,3.0,1204.0,400,0.5,1024
105,3,0.11650910001480952,3.0,1605.0,400,0.5,1024
106,4,0.14599050005199388,3.0,2006.0,400,0.5,1024
107,5,0.1787204000283964,2.0,2408.0,400,0.5,1024
108,6,0.20974850002676249,2.0,2809.0,400,0.5,1024
109,7,0.2407682000193745,2.0,3210.0,400,0.5,1024
110,8,0.26963130000513047,2.0,3611.0,400,0.5,1024
111,9,0.30455550004262477,2.0,4012.0,400,0.5,1024
112,10,0.3360421000397764,2.0,4413.0,400,0.5,1024
113,11,0.3669671000097878,2.0,4814.0,400,0.5,1024
114,12,0.39648990001296625,1.0,5216.0,400,0.5,1024
115,13,0.4300920000532642,1.0,5617.0,400,0.5,1024
116,14,0.463972500001546,1.0,6018.0,400,0.5,1024
117,15,0.4969418000546284,1.0,6419.0,400,0.5,1024
118,16,0.526023400016129,1.0,6820.0,400,0.5,1024
119,17,0.5573358000256121,1.0,7221.0,400,0.5,1024
120,18,0.5875793000450358,1.0,7622.0,400,0.5,1024
121,19,0.6159384000347927,1.0,8023.0,400,0.5,1024
122,20,0.020428800024092197,1.0,8424.0,400,0.5,1024
123,21,0.052249400003347546,1.0,8825.0,400,0.5,1024
124,22,0.08463290001964197,1.0,9226.0,400,0.5,1024
125,23,0.12051119998795912,1.0,9627.0,400,0.5,1024
126,24,0.15064790000906214,1.0,10028.0,400,0.5,1024
127,25,0.1820882000029087,1.0,10429.0,400,0.5,1024
128,26,0.21183550002751872,1.0,10830.0,400,0.5,1024
129,27,0.2435647000093013,1.0,11231.0,400,0.5,1024
