,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
15,4,16.0,5,0.007370500010438263,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
16,8,16.0,9,0.009020199999213219,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
17,16,13.0,19,0.011164400028064847,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
18,32,12.0,36,0.01428270002361387,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 3, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
19,64,3.0,73,0.019393700000364333,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 3, 4, 4, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
20,128,0.0,118,0.030012500006705523,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
21,256,0.0,118,0.030012500006705523,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
22,512,0.0,118,0.030012500006705523,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
23,1024,0.0,118,0.030012500006705523,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",75,1024,0
24,0,18.0,0,0.00023980002151802182,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 4, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
25,1,16.0,2,0.0023483000113628805,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
26,2,16.0,3,0.0043679000227712095,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
27,4,16.0,5,0.00635770004009828,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
28,8,16.0,9,0.008874399994965643,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
29,16,13.0,19,0.011384100012946874,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
30,32,12.0,36,0.015368200023658574,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 3, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
31,64,3.0,73,0.021778599999379367,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 3, 4, 4, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
32,128,0.0,118,0.030594000010751188,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
33,256,0.0,118,0.030594000010751188,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
34,512,0.0,118,0.030594000010751188,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
35,1024,0.0,118,0.030594000010751188,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",100,1024,0
