,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
14,2,769.0,603,0.03218209999613464,"[4, 1, 2, 4, 3, 2, 2, 2, 3, 4, 4, 4, 3, 3, 4, 0, 3, 3, 3, 4, 3, 3, 4, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 2, 2, 3, 3, 0, 3, 2, 4, 4, 0, 3, 4, 1, 3, 1, 2, 3, 2, 4, 4, 3, 0, 3, 2, 4, 1]",200,0.5,1024
15,4,798.0,1006,0.05816760001471266,"[4, 2, 4, 4, 2, 1, 3, 3, 4, 1, 4, 2, 4, 4, 1, 1, 3, 0, 3, 3, 1, 1, 2, 2, 4, 0, 4, 3, 2, 1, 4, 3, 1, 2, 0, 2, 3, 3, 0, 4, 4, 4, 3, 4, 2, 3, 2, 4, 2, 4, 2, 2, 3, 4, 3, 4, 2, 0, 4, 1]",200,0.5,1024
16,8,874.0,1812,0.10800500001641922,"[4, 2, 3, 4, 4, 2, 3, 2, 3, 3, 4, 1, 4, 4, 3, 1, 2, 4, 4, 3, 4, 0, 4, 3, 4, 4, 3, 4, 4, 2, 4, 4, 3, 4, 4, 1, 4, 1, 2, 4, 3, 1, 3, 3, 0, 3, 1, 3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 4, 3, 2]",200,0.5,1024
17,16,956.0,3424,0.2022362000134308,"[3, 4, 4, 1, 3, 4, 1, 2, 4, 2, 4, 4, 4, 2, 3, 4, 2, 3, 4, 2, 1, 1, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 2, 0, 4, 3, 4, 3, 3, 2, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 2, 3, 3]",200,0.5,1024
18,32,1022.0,6646,0.39494830000330694,"[4, 4, 3, 4, 2, 4, 1, 4, 3, 3, 4, 4, 4, 4, 4, 2, 1, 3, 4, 1, 1, 2, 4, 2, 4, 4, 4, 3, 1, 4, 4, 4, 4, 0, 3, 0, 4, 4, 0, 4, 4, 4, 3, 4, 4, 2, 1, 4, 3, 4, 4, 1, 4, 4, 4, 4, 3, 4, 4, 1]",200,0.5,1024
19,64,1059.0,13088,0.7693965999933425,"[4, 4, 4, 3, 2, 4, 1, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 1, 2, 4, 4, 4, 3, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 3, 4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 3]",200,0.5,1024
20,128,1075.0,25962,1.507924000005005,"[4, 4, 4, 4, 0, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 3, 2, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.5,1024
21,256,1075.0,51690,2.9980733999982476,"[4, 4, 4, 4, 0, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 3, 2, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.5,1024
22,512,1075.0,103146,5.990153799997643,"[4, 4, 4, 4, 0, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 3, 2, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.5,1024
23,1024,1075.0,123648,7.200728700001491,"[4, 4, 4, 4, 0, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 3, 2, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.5,1024
