,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,760.0,200,0.0046064000052865595,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",False,200,0.25,1024
1,1,828.0,402,1.452547000022605,"[0.0, 2.0, 4.0, 4.0, 2.0, 2.0, 3.0, 0.0, 4.0, 4.0, 3.0, 1.0, 4.0, 0.0, 4.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 1.0, 2.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 0.0, 4.0, 3.0, 1.0, 3.0, 2.0, 1.0, 2.0, 4.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 1.0, 2.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
2,2,917.0,604,3.026670000021113,"[4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0, 3.0, 2.0, 4.0, 4.0, 2.0, 1.0, 4.0, 4.0, 4.0, 2.0, 2.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 3.0, 2.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0, 3.0, 0.0, 2.0, 3.0, 3.0, 1.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 1.0, 4.0]",False,200,0.25,1024
3,4,950.0,1007,6.201253000006545,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 2.0, 1.0, 2.0, 3.0, 4.0, 1.0, 4.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 1.0, 3.0, 4.0, 2.0, 4.0, 0.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0]",False,200,0.25,1024
4,8,1000.0,1815,12.424921300000278,"[4.0, 4.0, 4.0, 4.0, 1.0, 2.0, 0.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 2.0, 4.0, 0.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 1.0, 3.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 3.0, 3.0, 4.0, 4.0, 3.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 4.0, 4.0]",False,200,0.25,1024
5,16,1050.0,3429,24.454595900024287,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 1.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 3.0, 0.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0]",False,200,0.25,1024
6,32,1061.0,6650,48.106584599998314,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 3.0, 0.0, 4.0, 0.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0]",False,200,0.25,1024
7,64,1061.0,13082,96.07280230001197,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 3.0, 0.0, 4.0, 0.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0]",False,200,0.25,1024
8,128,1061.0,25946,191.08283890000894,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 3.0, 0.0, 4.0, 0.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0]",False,200,0.25,1024
9,256,1061.0,51674,381.99646829999983,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 3.0, 0.0, 4.0, 0.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0]",False,200,0.25,1024
