,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,3.0,0,0.00014449999434873462,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",25,1024,0
1,1,3.0,1,0.0030802999972365797,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",25,1024,0
2,2,3.0,2,0.004852100042626262,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",25,1024,0
3,4,1.0,5,0.005958800029475242,"[1, 2, 2, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
4,8,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
5,16,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
6,32,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
7,64,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
8,128,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
9,256,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
10,512,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
11,1024,0.0,7,0.0070662000216543674,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",25,1024,0
12,0,3.0,0,0.00031669996678829193,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",75,1024,0
13,1,3.0,1,0.002553099999204278,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",75,1024,0
14,2,3.0,2,0.004754599998705089,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",75,1024,0
15,4,1.0,5,0.0069343000068329275,"[1, 2, 2, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
16,8,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
17,16,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
18,32,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
19,64,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
20,128,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
21,256,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
22,512,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
23,1024,0.0,7,0.009078199975192547,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",75,1024,0
24,0,3.0,0,0.0001333000254817307,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",100,1024,0
25,1,3.0,1,0.0023440999793820083,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",100,1024,0
26,2,3.0,2,0.0073509999783709645,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",100,1024,0
27,4,1.0,5,0.009837499994318932,"[1, 2, 2, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
28,8,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
29,16,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
30,32,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
31,64,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
32,128,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
33,256,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
34,512,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
35,1024,0.0,7,0.011395999987144023,"[1, 2, 5, 1, 0, 3, 2, 3, 0, 4]",100,1024,0
