,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
12,0,10.0,200,0.017303899978287518,"[1, 10, 2, 1, 8, 11, 11, 11, 0, 7, 4, 8, 10, 10, 11, 4, 11, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 4, 11, 5, 1, 7, 4, 11, 3, 7, 0]",False,200,0.5,1024
13,1,2.0,402,1.1017498999717645,"[1.0, 3.0, 2.0, 5.0, 7.0, 4.0, 8.0, 0.0, 11.0, 7.0, 2.0, 11.0, 11.0, 11.0, 1.0, 2.0, 5.0, 4.0, 9.0, 4.0, 1.0, 2.0, 7.0, 9.0, 11.0, 10.0, 4.0, 4.0, 9.0, 3.0, 2.0, 8.0, 2.0, 10.0, 11.0, 7.0, 10.0, 1.0, 11.0, 3.0]",False,200,0.5,1024
14,2,2.0,603,2.2653732000035234,"[1.0, 3.0, 2.0, 5.0, 7.0, 4.0, 8.0, 0.0, 11.0, 7.0, 2.0, 11.0, 11.0, 11.0, 1.0, 2.0, 5.0, 4.0, 9.0, 4.0, 1.0, 2.0, 7.0, 9.0, 11.0, 10.0, 4.0, 4.0, 9.0, 3.0, 2.0, 8.0, 2.0, 10.0, 11.0, 7.0, 10.0, 1.0, 11.0, 3.0]",False,200,0.5,1024
15,4,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
16,8,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
17,16,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
18,32,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
19,64,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
20,128,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
21,256,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
