,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
12,0,433.0,200,0.0053161000105319545,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",False,200,0.5,1024
13,1,513.0,402,0.7208902999991551,"[4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 4.0, 3.0, 0.0, 0.0, 0.0, 4.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 3.0, 2.0, 2.0, 4.0, 1.0, 4.0, 4.0, 3.0, 3.0, 3.0, 1.0, 3.0]",False,200,0.5,1024
14,2,536.0,604,1.495883399999002,"[4.0, 0.0, 4.0, 3.0, 0.0, 4.0, 2.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 4.0, 4.0, 1.0, 3.0, 1.0, 3.0, 3.0, 4.0, 2.0, 1.0, 2.0, 3.0, 4.0, 3.0, 2.0, 4.0]",False,200,0.5,1024
15,4,595.0,1008,3.026577000011457,"[4.0, 2.0, 3.0, 4.0, 2.0, 4.0, 2.0, 1.0, 4.0, 1.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 1.0, 4.0, 0.0, 3.0, 1.0, 3.0, 1.0, 4.0, 4.0, 4.0]",False,200,0.5,1024
16,8,621.0,1813,6.061724800005322,"[4.0, 4.0, 4.0, 1.0, 0.0, 3.0, 0.0, 0.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 2.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 3.0, 2.0, 4.0, 4.0, 2.0, 3.0, 2.0, 4.0, 2.0, 3.0, 3.0, 4.0]",False,200,0.5,1024
17,16,655.0,3428,12.09851160000835,"[4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 1.0, 4.0, 4.0, 2.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 2.0, 3.0, 0.0, 3.0, 2.0, 4.0, 3.0, 4.0]",False,200,0.5,1024
18,32,665.0,6647,23.587133400011226,"[4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 0.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 0.0, 3.0, 1.0, 4.0, 3.0, 4.0]",False,200,0.5,1024
19,64,665.0,13079,46.35384700000577,"[4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 0.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 0.0, 3.0, 1.0, 4.0, 3.0, 4.0]",False,200,0.5,1024
20,128,665.0,25943,91.93261709999933,"[4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 0.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 0.0, 3.0, 1.0, 4.0, 3.0, 4.0]",False,200,0.5,1024
21,256,665.0,51671,182.47046219999902,"[4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 0.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 0.0, 3.0, 1.0, 4.0, 3.0, 4.0]",False,200,0.5,1024
