,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00011439999798312783,5.0,0.0,25,1024,0
1,1,0.0017536000232212245,5.0,1.0,25,1024,0
2,2,0.0027102999738417566,5.0,2.0,25,1024,0
3,3,0.003614799992647022,5.0,3.0,25,1024,0
4,4,0.003672800026834011,5.0,4.0,25,1024,0
5,5,0.004562099988106638,5.0,5.0,25,1024,0
6,6,0.004625400004442781,5.0,6.0,25,1024,0
7,7,0.004677899996750057,5.0,7.0,25,1024,0
8,8,0.004751299973577261,4.0,9.0,25,1024,0
9,9,0.0057274000137113035,4.0,10.0,25,1024,0
10,10,0.005788100010249764,4.0,11.0,25,1024,0
11,11,0.005840700003318489,4.0,12.0,25,1024,0
12,12,0.005891899985726923,4.0,13.0,25,1024,0
13,13,0.005942300020251423,4.0,14.0,25,1024,0
14,14,0.005992899998091161,4.0,15.0,25,1024,0
15,15,0.006043599976692349,4.0,16.0,25,1024,0
16,16,0.006094300013501197,4.0,17.0,25,1024,0
17,17,0.00703169999178499,4.0,18.0,25,1024,0
18,18,0.0071140999789349735,4.0,19.0,25,1024,0
19,19,0.0072345000226050615,4.0,20.0,25,1024,0
20,20,0.007341200020164251,4.0,21.0,25,1024,0
21,21,0.007472699973732233,4.0,22.0,25,1024,0
22,22,0.007617200026288629,3.0,24.0,25,1024,0
23,23,0.00773549999576062,3.0,25.0,25,1024,0
24,24,0.008017799991648644,2.0,27.0,25,1024,0
25,25,0.008150900015607476,2.0,28.0,25,1024,0
26,26,0.008295900013763458,2.0,29.0,25,1024,0
27,27,0.008386500005144626,2.0,30.0,25,1024,0
28,28,0.008460999990347773,2.0,31.0,25,1024,0
29,29,0.008598099986556917,1.0,33.0,25,1024,0
30,30,0.008720299985725433,1.0,34.0,25,1024,0
31,31,0.008858899993356317,1.0,35.0,25,1024,0
32,32,0.008953900018241256,1.0,36.0,25,1024,0
33,33,0.011507400020491332,1.0,37.0,25,1024,0
34,34,0.011654899979475886,1.0,38.0,25,1024,0
35,35,0.011783799971453846,1.0,39.0,25,1024,0
36,36,0.011913799971807748,1.0,40.0,25,1024,0
37,37,0.012042700021993369,1.0,41.0,25,1024,0
38,38,0.012264100019820035,0.0,43.0,25,1024,0
