,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,22.0,200,0.026920100033748895,"[1, 10, 2, 1, 8, 11, 11, 11, 0, 7, 4, 8, 10, 10, 12, 11, 4, 11, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 4, 11, 5, 1, 7, 4, 11, 3, 7, 0, 12, 2, 2, 0, 11, 4, 10, 1, 10, 12, 4, 12, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 12, 5, 2, 5, 8, 3, 12, 12, 10, 9, 3, 2, 3, 9, 12, 0, 3, 0, 5, 1, 4, 12, 2, 10, 7, 1, 0, 3, 8, 7, 4, 12, 0, 12]",200,0.25,1024
1,1,8.0,402,0.06013970001367852,"[3, 6, 10, 3, 4, 1, 9, 7, 11, 11, 1, 1, 4, 2, 1, 5, 0, 9, 8, 8, 7, 2, 1, 6, 10, 9, 9, 1, 0, 3, 8, 8, 11, 7, 12, 11, 11, 3, 9, 5, 6, 3, 4, 1, 7, 7, 11, 3, 9, 12, 10, 5, 5, 2, 12, 1, 12, 5, 1, 6, 4, 0, 11, 12, 9, 1, 6, 8, 3, 7, 11, 0, 0, 3, 8, 11, 3, 1, 10, 1, 7, 3, 9, 3, 0, 1, 10, 12, 12, 0, 6, 0, 8, 7, 9, 5, 1, 5, 12, 7]",200,0.25,1024
2,2,8.0,603,0.09473870001966134,"[3, 6, 10, 3, 4, 1, 9, 7, 11, 11, 1, 1, 4, 2, 1, 5, 0, 9, 8, 8, 7, 2, 1, 6, 10, 9, 9, 1, 0, 3, 8, 8, 11, 7, 12, 11, 11, 3, 9, 5, 6, 3, 4, 1, 7, 7, 11, 3, 9, 12, 10, 5, 5, 2, 12, 1, 12, 5, 1, 6, 4, 0, 11, 12, 9, 1, 6, 8, 3, 7, 11, 0, 0, 3, 8, 11, 3, 1, 10, 1, 7, 3, 9, 3, 0, 1, 10, 12, 12, 0, 6, 0, 8, 7, 9, 5, 1, 5, 12, 7]",200,0.25,1024
3,4,7.0,1006,0.16242770000826567,"[8, 6, 9, 11, 2, 12, 1, 9, 7, 9, 7, 6, 3, 0, 8, 11, 6, 2, 11, 9, 11, 4, 3, 9, 7, 4, 5, 0, 6, 9, 2, 4, 10, 6, 10, 2, 4, 4, 7, 4, 0, 9, 9, 9, 1, 9, 3, 12, 0, 4, 1, 12, 1, 10, 7, 5, 9, 1, 10, 6, 4, 0, 3, 4, 12, 4, 1, 7, 10, 11, 11, 6, 10, 3, 9, 1, 8, 11, 5, 2, 1, 2, 0, 5, 5, 11, 5, 3, 5, 0, 9, 4, 11, 3, 4, 10, 7, 11, 2, 12]",200,0.25,1024
4,8,6.0,1811,0.2937394000473432,"[10, 10, 4, 8, 2, 2, 8, 10, 11, 5, 12, 0, 12, 10, 11, 9, 7, 1, 9, 2, 2, 12, 4, 4, 0, 5, 6, 11, 7, 8, 1, 11, 3, 9, 12, 6, 9, 7, 4, 10, 8, 6, 6, 0, 0, 11, 12, 11, 5, 11, 9, 6, 1, 10, 1, 5, 3, 5, 0, 10, 9, 12, 0, 3, 8, 5, 12, 1, 9, 5, 5, 9, 1, 1, 5, 0, 1, 3, 5, 9, 2, 0, 8, 11, 12, 11, 6, 7, 4, 0, 5, 1, 10, 2, 8, 5, 3, 11, 8, 2]",200,0.25,1024
5,16,4.0,3420,0.5594861000427045,"[7, 6, 9, 11, 6, 12, 1, 10, 7, 9, 7, 4, 5, 7, 1, 10, 11, 2, 11, 1, 12, 11, 10, 9, 8, 9, 10, 1, 11, 2, 2, 6, 10, 3, 10, 11, 11, 0, 7, 4, 6, 9, 9, 9, 1, 9, 8, 3, 9, 4, 1, 12, 12, 4, 0, 0, 9, 1, 3, 4, 8, 0, 0, 8, 6, 5, 1, 0, 3, 10, 11, 5, 2, 8, 10, 0, 8, 11, 3, 6, 6, 4, 5, 3, 5, 1, 11, 3, 6, 0, 4, 4, 1, 2, 9, 10, 2, 8, 2, 12]",200,0.25,1024
6,32,1.0,6639,1.0898645000415854,"[7, 6, 9, 8, 12, 12, 5, 10, 11, 9, 10, 0, 12, 7, 1, 10, 12, 9, 11, 1, 2, 8, 10, 9, 8, 9, 6, 1, 7, 11, 0, 6, 10, 3, 10, 11, 11, 0, 11, 4, 6, 9, 6, 9, 1, 6, 8, 3, 2, 0, 11, 12, 4, 4, 0, 0, 9, 1, 0, 4, 9, 3, 0, 8, 6, 4, 1, 11, 3, 10, 11, 10, 2, 10, 10, 0, 8, 11, 3, 9, 12, 4, 9, 3, 5, 11, 6, 7, 12, 0, 4, 4, 11, 2, 6, 6, 2, 8, 8, 12]",200,0.25,1024
7,64,0.0,6841,1.1239127000444569,"[0, 2, 6, 8, 7, 12, 1, 10, 11, 11, 3, 0, 0, 7, 7, 10, 6, 1, 11, 3, 1, 12, 10, 8, 0, 4, 10, 12, 12, 1, 9, 12, 9, 3, 10, 11, 11, 8, 11, 4, 5, 8, 6, 9, 3, 6, 8, 3, 5, 0, 4, 12, 5, 9, 1, 0, 3, 2, 7, 10, 5, 12, 0, 8, 6, 4, 1, 3, 3, 3, 11, 9, 7, 8, 10, 0, 8, 11, 5, 9, 12, 4, 9, 3, 5, 1, 11, 6, 12, 5, 12, 6, 0, 2, 11, 12, 2, 1, 8, 10]",200,0.25,1024
8,128,0.0,6841,1.1239127000444569,"[0, 2, 6, 8, 7, 12, 1, 10, 11, 11, 3, 0, 0, 7, 7, 10, 6, 1, 11, 3, 1, 12, 10, 8, 0, 4, 10, 12, 12, 1, 9, 12, 9, 3, 10, 11, 11, 8, 11, 4, 5, 8, 6, 9, 3, 6, 8, 3, 5, 0, 4, 12, 5, 9, 1, 0, 3, 2, 7, 10, 5, 12, 0, 8, 6, 4, 1, 3, 3, 3, 11, 9, 7, 8, 10, 0, 8, 11, 5, 9, 12, 4, 9, 3, 5, 1, 11, 6, 12, 5, 12, 6, 0, 2, 11, 12, 2, 1, 8, 10]",200,0.25,1024
9,256,0.0,6841,1.1239127000444569,"[0, 2, 6, 8, 7, 12, 1, 10, 11, 11, 3, 0, 0, 7, 7, 10, 6, 1, 11, 3, 1, 12, 10, 8, 0, 4, 10, 12, 12, 1, 9, 12, 9, 3, 10, 11, 11, 8, 11, 4, 5, 8, 6, 9, 3, 6, 8, 3, 5, 0, 4, 12, 5, 9, 1, 0, 3, 2, 7, 10, 5, 12, 0, 8, 6, 4, 1, 3, 3, 3, 11, 9, 7, 8, 10, 0, 8, 11, 5, 9, 12, 4, 9, 3, 5, 1, 11, 6, 12, 5, 12, 6, 0, 2, 11, 12, 2, 1, 8, 10]",200,0.25,1024
