,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00014449999434873462,3.0,0.0,25,1024,0
1,1,0.0030802999972365797,3.0,1.0,25,1024,0
2,2,0.004852100042626262,3.0,2.0,25,1024,0
3,3,0.005892300046980381,3.0,3.0,25,1024,0
4,4,0.005958800029475242,1.0,5.0,25,1024,0
5,5,0.0070662000216543674,0.0,7.0,25,1024,0
6,0,0.00014449999434873462,3.0,0.0,75,1024,0
7,1,0.0030802999972365797,3.0,1.0,75,1024,0
8,2,0.004852100042626262,3.0,2.0,75,1024,0
9,3,0.005892300046980381,3.0,3.0,75,1024,0
10,4,0.005958800029475242,1.0,5.0,75,1024,0
11,5,0.0070662000216543674,0.0,7.0,75,1024,0
12,0,0.00014449999434873462,3.0,0.0,100,1024,0
13,1,0.0030802999972365797,3.0,1.0,100,1024,0
14,2,0.004852100042626262,3.0,2.0,100,1024,0
15,3,0.005892300046980381,3.0,3.0,100,1024,0
16,4,0.005958800029475242,1.0,5.0,100,1024,0
17,5,0.0070662000216543674,0.0,7.0,100,1024,0
