,num_clusters,mean_fit_time,std_fit_time,mean_s_score,std_s_score,mean_v_score,std_v_score,mean_ch_score,std_ch_score,mean_ar_score,std_ar_score
0,2,0.010292480001226068,0.0005331589467942947,0.6301510786356164,0.0,0.000929010027010601,0.0,5622.132781504369,0.0,-0.00029582996041555227,0.0
1,3,0.014466779958456754,0.0012638166750069452,0.7343564196475194,0.0,0.0005685821059986851,0.0,7243.284824083677,1.016845989170083e-12,-7.581762734193314e-05,0.0
2,4,0.015324299968779088,0.0008700168200142586,0.8011109968069569,0.0,0.000884313136757594,1.21217487951527e-19,7983.664432741694,0.0,-0.00030637737362403084,0.0
3,5,0.016851260000839828,0.0009992310589020516,0.859255568897171,0.0,0.003109920767413908,0.0,9539.90892714851,0.0,0.0011284202470868195,0.0
4,6,0.018650780012831093,0.0010945614330998845,0.9224167548830338,0.0,0.002879455888248221,0.0,14274.25270232504,2.227797943108433e-12,0.001243143337130748,0.0
5,7,0.020393280079588294,0.0010287714939898169,0.9564768821015184,0.0,0.0036747655312754784,0.0,25142.213436158054,3.637978807091713e-12,0.0013411540864459717,0.0
6,8,0.022428419999778272,0.0008035862711523764,0.9715776141390366,0.0006796380916539055,0.0033336227733967187,0.00020736000545124513,35325.85538375766,430.3546679798226,0.0012898914285409198,1.2293135167677011e-05
7,9,0.02402808000333607,0.0006237495780437097,0.9786100555979715,0.0004147332723212048,0.003920236103497006,0.0002276570965755623,42899.51864062353,452.8128755536875,0.0012265630207330875,7.820144712540695e-06
8,10,0.026816900027915834,0.001602920674188267,0.9840096644670624,0.00021850997490870601,0.004628653203376888,0.00026520656827676097,52990.818614983305,833.1094052828167,0.0012189408838707717,8.940153415066332e-06
9,11,0.027812479995191097,0.0009030627581109943,0.9899460484122693,0.0002185099749087668,0.005394363428777487,0.0002644588960174664,73251.53646907388,1779.970474862909,0.0012203306797960796,8.940148280057543e-06
10,12,0.029655099986121057,0.000960175379942009,0.9933785128124131,0.0,0.005757477746740419,9.69739903612216e-19,96348.98943328203,1.626953582672133e-11,0.001217918743252098,0.0
11,13,0.032373459963127973,0.001713747366236214,0.9953559179311402,0.0,0.005757477746740419,1.734723475976807e-18,138409.77443826536,0.0,0.001217918743252098,0.0
12,14,0.03360621994361281,0.001118155762971557,0.9978456790232905,0.0,0.006438087890433666,8.673617379884035e-19,258481.3331319641,3.253907165344266e-11,0.0010090974275379439,0.0
13,15,0.04008961995132267,0.009852598717956983,0.9996428571428572,0.0,0.006379930827538854,0.00012179805194038934,1715947.8665932696,7768.963779255859,0.0010085171766243757,2.7434488422217365e-06
14,16,0.03694789996370673,0.0008962923075325655,0.9998214285714285,0.0,0.0072532852675706696,8.673617379884035e-19,4.796002884184799e+29,0.0,0.0010158877299603051,0.0
15,17,0.04350065998733044,0.0018967072746018724,0.9998214285714285,0.0,0.007253285267570667,9.69739903612216e-19,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
16,18,0.04479420003481209,0.0009033837162275308,0.9998214285714285,0.0,0.007253285267570668,1.939479807224432e-18,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
17,19,0.05787883996963501,0.0029049781731041308,0.9998214285714285,0.0,0.007253285267570667,9.69739903612216e-19,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
18,20,0.05065183998085558,0.0023549482281073307,0.9998214285714285,0.0,0.007253285267570667,9.69739903612216e-19,4.796002884184799e+29,0.0,0.0010158877299603051,0.0
19,21,0.05918280002661049,0.0018707709733563032,0.9998214285714285,0.0,0.007253285267570668,1.2266347333466993e-18,4.796002884184799e+29,0.0,0.0010158877299603051,0.0
20,22,0.06307800002396106,0.00256128473210836,0.9998214285714285,0.0,0.007253285267570667,1.5636586103463754e-18,4.796002884184799e+29,49758216191607.6,0.0010158877299603051,0.0
21,23,0.0734199000056833,0.012606748429621631,0.9998214285714285,0.0,0.007253285267570668,1.3010426069826053e-18,4.796002884184799e+29,60941120090265.33,0.0010158877299603051,0.0
22,24,0.07246969994157552,0.005770065951159918,0.9998214285714285,0.0,0.007253285267570668,1.371419323662774e-18,4.796002884184798e+29,49758216191607.6,0.0010158877299603051,0.0
23,25,0.06916052005253732,0.0027299517646912548,0.9998214285714285,0.0,0.007253285267570667,8.673617379884035e-19,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
24,26,0.07085158005356788,0.0012892572289769303,0.9998214285714285,0.0,0.007253285267570667,1.5636586103463754e-18,4.796002884184799e+29,49758216191607.6,0.0010158877299603051,0.0
25,27,0.07171888002194464,0.0026578217089922784,0.9998214285714285,0.0,0.007253285267570668,2.4532694666933987e-18,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
26,28,0.07569575998932124,0.0033232667880023917,0.9998214285714285,0.0,0.007253285267570668,1.2266347333466993e-18,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
27,29,0.08495341995730996,0.007942652240363276,0.9998214285714285,0.0,0.007253285267570668,8.673617379884035e-19,4.796002884184799e+29,0.0,0.0010158877299603051,0.0
28,30,0.07978076008148491,0.004449039486664703,0.9998214285714285,0.0,0.007253285267570668,9.69739903612216e-19,4.796002884184799e+29,49758216191607.6,0.0010158877299603051,0.0
29,31,0.08038558005355298,0.004555539332718966,0.9998214285714285,0.0,0.007253285267570667,9.69739903612216e-19,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
30,32,0.08215515990741551,0.0022689639262588415,0.9998214285714285,0.0,0.007253285267570668,0.0,4.796002884184799e+29,35184372088832.0,0.0010158877299603051,0.0
