,num_clusters,mean_fit_time,std_fit_time,mean_s_score,std_s_score,mean_v_score,std_v_score,mean_ch_score,std_ch_score,mean_ar_score,std_ar_score
0,2,0.23057053997181357,0.08763253322585057,0.1582096400462461,0.07834390551324988,0.0059732879824426575,0.0031279316015516805,57.779260600202846,0.8420547187001948,-0.0011975165180527832,0.00025349593358735495
1,3,0.49172966000624,0.3433213049547883,0.10463672168932825,0.14330586604235168,0.007942876532019274,0.006032716781670664,55.73665586095241,3.648571251981025,-0.00012160741802081588,0.0022971201196750756
2,4,0.37093259994871913,0.1106302278972873,0.03520936486409649,0.02042915137410461,0.029566605961122837,0.01714469248288795,53.27749927606298,2.1647324202741878,0.0034342142301057852,0.01744513385695838
3,5,0.7401790800038726,0.45192502128772255,0.021541598531078655,0.025595296592695653,0.014215180752465584,0.010492300615552154,52.48923089853342,1.9794199960814913,-0.002384065952687028,0.0043381236259319965
4,6,0.49395720004104077,0.12460030565798697,0.016348146260209733,0.014643551624847284,0.01463747623701465,0.010620185003056478,53.30329846156282,2.5773751536988865,0.00024424179216649356,0.006596908679459244
5,7,0.5833851200528443,0.1374467485384697,0.022020477280277534,0.00427885148316463,0.019554155475235414,0.004729060075168232,52.52171453273836,0.8418442293600128,-0.0018350741066893322,0.0028991088536153126
6,8,0.5492727600038052,0.06261262966248052,0.01651468100877789,0.017427829611306185,0.024880261434623067,0.01241825361216396,54.01425775427411,1.4748839628591472,0.008643094216084522,0.012367718947955578
7,9,0.7516895999666303,0.265629946802391,0.021422904954918075,0.007036393073681454,0.020905140323990417,0.01204802735290595,54.39605840473322,1.3093892914767142,0.009544603710491649,0.008734517695386634
8,10,0.7556126999668777,0.20027219500881577,0.034611866594347326,0.010578851723351691,0.03653507280002657,0.013073216932035323,54.213215909686554,1.5814900122441222,0.004298977470075249,0.0075094173372630595
9,11,0.782837500050664,0.13170637345768835,0.029430730327387716,0.005411690863015571,0.02079545542585704,0.0036532550504762814,55.63859867531071,1.0584037525747825,0.0016401956344064077,0.004762620955989316
10,12,1.0493653999641537,0.3131530082193314,0.018993478863515073,0.009401414788186933,0.025661425513567176,0.005697866707716461,54.286519234020965,2.258768733194009,0.002391345924831794,0.007641664661577352
