,num_clusters,mean_fit_time,std_fit_time,mean_s_score,std_s_score,mean_v_score,std_v_score,mean_ch_score,std_ch_score,mean_ar_score,std_ar_score
0,2,0.015310780052095652,0.0013159247142714018,0.5201880452655381,0.00030896436096754845,0.0005290690853181033,1.721787618183941e-05,7400.980176287494,0.016971080082958966,0.006854963137545553,0.00014187603268071445
1,3,0.030607960000634194,0.0008637245648993226,0.38546907951648224,0.0009358301291954585,0.0017347175384920823,9.519295962327228e-05,6315.691257481681,0.47550777830058755,0.005052954250485115,0.0006594134321590442
2,4,0.026766239991411568,0.000991941395168695,0.3963842638381222,3.16405058137827e-05,0.001609572490171814,9.969626483927234e-05,5895.769488722848,0.3700572577279409,0.0011419075661498542,0.000147233517352411
3,5,0.03782843998633325,0.004648484261159184,0.38291734419440704,0.00035287986453179517,0.0011750033476353424,0.0002897037011817391,6064.878630114269,1.0548402556960041,-0.001202070403099382,0.00027293255774786
4,6,0.043274600012227896,0.005605736893841038,0.35927710997206674,0.00024448126173598895,0.0021121365600857106,0.00017774914918302132,5890.655568555603,0.4702721096452585,8.160846474407182e-05,0.00018008273900970334
5,7,0.04259407999925315,0.003844224245752791,0.3626618590394132,0.0009654473854969651,0.0018134223931912607,0.00011040011809535928,5650.61510070471,4.22620730023806,0.0013319919367942717,0.0004253168142002673
6,8,0.04856524001806974,0.001548338162052203,0.3506620029067372,0.00022894057058907267,0.002482786779381021,0.0006619098435452813,5524.941148349247,0.5995212285301297,0.0018080353986467661,0.0011477506671371737
7,9,0.049414060078561306,0.005272632312252394,0.34680897220604023,0.0010345032883455059,0.0028165999410758417,0.0007434798054343429,5343.076697506498,3.7217557039955462,0.0025490787198413317,0.0011038588474642085
8,10,0.05785374008119106,0.007817668281924884,0.34287535546543824,0.0023047037891468177,0.002911204980319225,0.0005795426410368752,5276.821750440487,17.565631991277336,0.003504835033838958,0.0012071163810583251
9,11,0.05721110003069043,0.005665934652611775,0.33826768647124644,0.0014737637677491413,0.0028049687372041963,0.00025652066307282233,5286.134470806198,9.306915768637214,0.0025322437485502856,0.0001856243827278741
10,12,0.057914619939401744,0.004046367058646025,0.335243404208344,0.0037995818427389067,0.002654936926507721,0.0005326624454214956,5249.130482921448,31.570452585233326,0.0009044919264015619,0.00033843817788831176
11,13,0.06210222002118826,0.006589345612031449,0.3315654430070336,0.003497278954884407,0.002512021261316314,0.0005135176193851527,5220.593186946151,34.10850061533382,0.0007892431575744988,0.0003692866221469905
12,14,0.06113934004679322,0.0034058045868082024,0.3325175087269211,0.003273466143732605,0.0030053420686209685,0.0005857817726077744,5180.29618172634,16.01130056918458,0.00031524768984784074,0.0001467365860292526
13,15,0.06346676000393928,0.004500541720167941,0.33655430444448975,0.004939052839617485,0.002974564304439567,0.000533528179012082,5169.427441789477,25.63390493934207,0.0005636029507229384,0.0004944897268861415
14,16,0.06433490002527834,0.003965295487199907,0.3390670208303369,0.005194966713714207,0.0024055116259395467,0.00024483563097467523,5187.861796243927,28.543965339017795,0.0006218641659310675,0.0006882640065950756
15,17,0.06823269999586046,0.0032451234204762033,0.3389640513194374,0.003973455672033934,0.002573717947118378,0.0006828912589705401,5190.748670731877,32.8864253152449,0.00016426797032388223,0.0005064289664523977
16,18,0.07034063995815813,0.0031975620671657015,0.340766678409863,0.0025781086164736703,0.002355647334171659,0.000478163030299443,5192.377394959565,22.20378054276738,0.00034861494374208114,0.001003407766923533
17,19,0.0724021800328046,0.003452178980703804,0.3395705404622613,0.0014078940326114318,0.0029613087940267317,0.0007504335226583584,5177.182303305064,25.238015955857808,0.00044829348532043206,0.00046638347944479274
18,20,0.07446715999394656,0.0007333299798897061,0.34082944217063027,0.004770988597943877,0.0028614133046808475,0.000870929337812944,5159.900307745156,32.35284508387346,0.00022419238291201664,0.0001685030543561689
19,21,0.0829840200021863,0.003787869043474673,0.33951330695687026,0.002583181670859656,0.002700387516976369,0.0005428421705244195,5169.355277041424,27.18268412840178,-0.00012465509811269054,0.0002824010329229835
