,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
1,3,full,11064.361893743448,116.7700994682432,0.03142833709716797,0.0013578511486387914,0.001001119613647461,2.132480599880018e-07
2,4,full,11090.539954063785,127.3206250985961,0.029626846313476562,0.0049277848747373955,0.0006004810333251953,0.0004902907415388204
0,2,full,11137.65812925129,105.8437939862627,0.016214847564697266,0.0018348692732392592,0.0008006572723388671,0.00040032864681882504
3,5,full,11140.368449028258,128.77704540103832,0.03623290061950683,0.0038712834040634373,0.0010009765625,2.86102294921875e-07
4,6,full,11174.794115948122,142.13988848320608,0.032028818130493165,0.0017904307281684623,0.0010013103485107422,3.504023183989303e-07
5,7,full,11216.619933709115,144.61413005465715,0.037233591079711914,0.0034904463499617726,0.0010010719299316407,2.78041453115716e-07
6,8,full,11256.824467307975,139.2928875932197,0.03783421516418457,0.002788146092721356,0.001201295852661133,0.0004003525632173939
7,9,full,11297.570312536836,141.65120308931859,0.04243783950805664,0.0032647756678334445,0.0012013912200927734,0.00040066263144367614
8,10,full,11330.2365129385,142.97818703970535,0.04664216041564941,0.0034440065841078228,0.001001119613647461,1.5078914929239175e-07
9,11,full,11384.08114432705,141.52697406242262,0.04824371337890625,0.004919553467139604,0.0012012004852294921,0.00040040017593981613
10,12,full,11419.637069503771,135.93413042443316,0.058052587509155276,0.006071716693384294,0.0016016483306884766,0.0004904269917126001
11,13,full,11465.06956142182,145.24251461138397,0.05044569969177246,0.005958694282118176,0.0014013290405273438,0.0004902518079503424
12,14,full,11503.368535542519,145.1416868330193,0.06005454063415527,0.005767335988305492,0.0014013290405273438,0.000490349124532881
13,15,full,11539.04439497853,141.85924370449334,0.06165580749511719,0.006474333730703216,0.0014014244079589844,0.0004903685855318217
14,16,full,11566.701168092713,132.51827065529383,0.058653402328491214,0.0025792162632993763,0.0018016338348388673,0.00040025713899915447
15,17,full,11611.860060057417,142.45685791653554,0.06265673637390137,0.004082906049445889,0.002002096176147461,1.1680077279964343e-07
16,18,full,11661.54934631673,146.0607801997672,0.06606001853942871,0.004246727695280883,0.0016015529632568359,0.0004902518079503424
17,19,full,11710.251744552545,153.24479974265032,0.07006363868713379,0.007931844879677958,0.0016015052795410156,0.0004901155229937279
18,20,full,11727.16731153688,109.1142050469766,0.06986355781555176,0.003658544732116015,0.0018016815185546875,0.0004004002327264194
19,21,full,11786.830898151335,140.4968958442057,0.07606902122497558,0.007700995653921569,0.002001953125,2.3360154559928687e-07
20,22,full,11819.11759548126,106.56079631621748,0.07506842613220215,0.008702805967392119,0.0018014907836914062,0.00040030483691162467
21,23,full,11874.19580708252,147.15506984888972,0.07997570037841797,0.0027617767593952542,0.0020020008087158203,1.5078914929239175e-07
23,25,full,11933.602904267012,99.12946132069617,0.09608769416809082,0.0040535072053567486,0.002201700210571289,0.000400352648407426
24,26,full,11980.868779564531,117.11131912480992,0.09508709907531739,0.008907875073743757,0.0022017955780029297,0.0004001861070283514
22,24,full,11981.284454752607,267.21974106970583,0.07987265586853028,0.0020413303698038,0.0020021915435791014,2.3360154559928687e-07
25,27,full,12015.416860392568,116.20745211076917,0.1014927864074707,0.007009498644195401,0.0024016380310058595,0.0004904270148937946
26,28,full,12120.710964754373,262.7051625980156,0.1090996265411377,0.004862116723086404,0.002201700210571289,0.00040023344982054724
27,29,full,12172.120715867399,235.0926404159977,0.10379533767700196,0.008642363874743094,0.0022019863128662108,0.000400447959018663
29,31,full,12186.799467997816,111.66917504911278,0.10709753036499023,0.008656436298039137,0.0022019863128662108,0.0004002095547106269
