,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
1,7,full,114822.06064022663,131291.52471041458,1.4687541007995606,0.30194348342602007,0.01804828643798828,0.002552652586591567
0,2,full,340076.6334617502,104905.18834304083,0.20335240364074708,0.07194326287078064,0.004627656936645508,0.000866450963429752
2,12,full,30864976.4887638,30039665.560071502,1.9020869731903076,0.40641268210024134,0.027938127517700195,0.003907388777488114
3,17,full,38614035.120310485,29804900.67282159,3.010942554473877,0.40003448354528853,0.040013599395751956,0.005100331831859405
5,27,full,39485789.797009096,29791479.356468383,4.124039506912231,0.9388897565435245,0.06878509521484374,0.017895454787386425
4,22,full,43591738.731408164,25339878.259256627,3.42277569770813,0.6746521304155956,0.05168452262878418,0.01139786650351772
7,37,full,73258902.8417686,31883800.335258752,5.316344213485718,0.9279311222822,0.09523406028747558,0.013713807809803325
6,32,full,131944326.85653964,58144431.74086273,6.449742174148559,1.9215321459660446,0.07900924682617187,0.005337051732389019
8,42,full,152952371.67736325,64352958.88694239,6.573159503936767,1.060235395279018,0.11318373680114746,0.020857912819299634
9,47,full,181230134.8646241,82705261.67239463,7.730320119857788,1.6528485490721028,0.11314868927001953,0.014834975447265157
13,67,full,183532430.75644264,95112042.31744188,10.059155178070068,2.090464780535374,0.16683697700500488,0.014113456232708021
10,52,full,191147567.47857946,77082189.03414571,7.404459857940674,2.78749228216714,0.1281675338745117,0.012395018348820643
11,57,full,252037073.278298,133112593.20741737,6.939715576171875,1.1589474620468083,0.13168582916259766,0.011882781017649382
14,72,full,272183999.8208139,133563648.77167037,9.162175941467286,1.4736549400771861,0.17583532333374025,0.015351096540946482
12,62,full,295350041.475011,95112285.17731886,8.787246704101562,2.0771929111014855,0.15057525634765626,0.02978466434868319
15,77,full,301420533.3577135,129421882.84036647,9.795247316360474,2.167728665469317,0.16874942779541016,0.008987734916385675
16,82,full,309623667.591977,90777222.92305927,10.647840118408203,1.4863944235846027,0.20398406982421874,0.023533270399357865
17,87,full,359989953.41497767,129552610.17206119,9.601864051818847,2.249896844246695,0.21842398643493652,0.01829475426337528
19,97,full,376490466.52269924,120192152.66852616,12.739239692687988,2.3397389368484722,0.236956787109375,0.01540997378735259
20,102,full,382896859.499051,169294920.93919444,11.668126583099365,2.2760293780382894,0.2368502140045166,0.010864228748290359
18,92,full,397076843.3022377,141150054.5271708,14.02211947441101,4.714190496426856,0.2148120880126953,0.006521940958040114
21,107,full,413933185.89666307,103764023.33228016,12.079757785797119,3.5261773932090916,0.2680850028991699,0.016339969471784663
