,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,760.0,0,0.0009916000126395375,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09999900341365003,0.1,1024
1,1,760.0,1,0.0036378000222612172,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09999634395563578,0.1,1024
2,2,770.0,3,0.004653400013921782,"[1, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09999532328606162,0.1,1024
3,4,770.0,5,0.0057166000187862664,"[1, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09999425479003062,0.1,1024
4,8,770.0,9,0.006947100016986951,"[1, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.0999930181749029,0.1,1024
5,16,803.0,20,0.00826740000047721,"[1, 2, 4, 1, 3, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 3, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09999169133052506,0.1,1024
6,32,839.0,40,0.010050200013210997,"[1, 2, 4, 3, 3, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 3, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 3, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09998989972155971,0.1,1024
7,64,843.0,74,0.012722300016321242,"[1, 2, 4, 4, 3, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 3, 4, 3, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 3, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09998721447861816,0.1,1024
8,128,855.0,139,0.018246999999973923,"[1, 2, 4, 4, 3, 3, 3, 3, 4, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 3, 4, 3, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 3, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09998166283363207,0.1,1024
9,256,855.0,267,0.03199060002225451,"[1, 2, 4, 4, 3, 3, 3, 3, 4, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 3, 4, 3, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 3, 4, 2, 4, 2, 0, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09996785354064398,0.1,1024
