,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
13,1,46.0,2,0.008358099992619827,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.5,0.99,0.001,0.499958000908011,0.5,1024
14,2,46.0,3,0.019288900002720766,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.5,0.99,0.001,0.4999030794331744,0.5,1024
15,4,46.0,5,0.02369899999757763,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.5,0.99,0.001,0.4998809227269647,0.5,1024
16,8,41.0,11,0.033138999991933815,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 51, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 57, 27, 20, 58, 17, 10, 46]",geometric,0.5,0.99,0.001,0.49983349868895854,0.5,1024
17,16,40.0,24,0.049293499992927536,"[1, 42, 35, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 33, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 37, 52, 23, 52, 20, 51, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 3, 4, 18, 15, 47, 57, 27, 20, 58, 17, 10, 46]",geometric,0.5,0.99,0.001,0.499752353234017,0.5,1024
18,32,37.0,50,0.07893099999637343,"[1, 20, 35, 49, 2, 43, 47, 2, 27, 20, 23, 36, 8, 10, 10, 12, 41, 33, 43, 22, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 37, 49, 13, 52, 20, 51, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 3, 4, 18, 15, 39, 57, 27, 20, 58, 17, 10, 46]",geometric,0.5,0.99,0.001,0.49960351575330214,0.5,1024
19,64,32.0,93,0.12460680000367574,"[1, 20, 35, 49, 2, 43, 47, 2, 30, 20, 23, 36, 8, 10, 14, 12, 41, 33, 43, 22, 50, 48, 38, 55, 34, 14, 6, 42, 21, 47, 59, 30, 56, 49, 13, 52, 20, 51, 45, 59, 5, 31, 23, 36, 11, 35, 29, 38, 3, 4, 18, 15, 19, 57, 39, 42, 58, 17, 24, 46]",geometric,0.5,0.99,0.001,0.4993742218305291,0.5,1024
20,128,24.0,177,0.21352639999531675,"[1, 20, 35, 49, 2, 43, 47, 2, 0, 20, 23, 43, 8, 10, 14, 12, 41, 33, 29, 22, 50, 48, 56, 55, 34, 17, 32, 42, 21, 47, 59, 30, 56, 6, 10, 52, 20, 51, 45, 7, 5, 31, 23, 36, 11, 35, 6, 38, 3, 4, 44, 15, 32, 57, 39, 16, 58, 40, 24, 46]",geometric,0.5,0.99,0.001,0.4989281445019848,0.5,1024
21,256,20.0,329,0.37444349999714177,"[1, 46, 35, 49, 2, 41, 47, 29, 0, 20, 23, 23, 8, 10, 14, 12, 41, 33, 38, 22, 43, 9, 48, 55, 34, 17, 6, 27, 21, 6, 59, 30, 56, 6, 10, 52, 25, 51, 45, 7, 5, 31, 20, 5, 11, 19, 6, 38, 3, 33, 44, 15, 23, 57, 39, 16, 58, 40, 1, 46]",geometric,0.5,0.99,0.001,0.4981218946708235,0.5,1024
22,512,13.0,625,0.7100016000040341,"[54, 46, 35, 41, 2, 41, 47, 29, 3, 20, 23, 16, 1, 10, 14, 36, 53, 0, 38, 22, 47, 9, 48, 55, 34, 17, 6, 49, 52, 6, 59, 30, 28, 6, 6, 50, 12, 51, 45, 48, 5, 31, 58, 13, 11, 19, 6, 37, 56, 33, 44, 15, 25, 57, 39, 24, 18, 40, 1, 4]",geometric,0.5,0.99,0.001,0.4964448222550719,0.5,1024
