,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
20,128,684.0,25962,1.5955079999985173,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 4, 4, 4]",200,0.5,1024
21,256,684.0,51690,3.1898461999953724,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 4, 4, 4]",200,0.5,1024
22,512,684.0,103146,6.377433999994537,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 4, 4, 4]",200,0.5,1024
23,1024,685.0,206059,12.845774400004302,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 4, 4, 4]",200,0.5,1024
24,0,433.0,200,0.00546570000005886,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",200,0.75,1024
25,1,485.0,402,0.022531899987370707,"[2, 1, 3, 3, 2, 4, 2, 4, 4, 0, 1, 4, 4, 2, 3, 1, 1, 4, 4, 4, 0, 1, 3, 1, 3, 4, 3, 2, 4, 2, 3, 4, 2, 1, 4, 4, 2, 1, 4, 3]",200,0.75,1024
26,2,502.0,604,0.03804889999446459,"[0, 4, 3, 4, 1, 3, 4, 2, 4, 4, 4, 3, 4, 3, 3, 0, 3, 1, 3, 4, 0, 0, 4, 0, 4, 1, 0, 4, 3, 3, 3, 4, 0, 4, 1, 4, 4, 2, 1, 4]",200,0.75,1024
27,4,535.0,1008,0.06882729999779258,"[2, 3, 4, 2, 3, 3, 4, 0, 3, 4, 4, 4, 3, 3, 3, 4, 3, 2, 3, 3, 2, 4, 4, 1, 3, 4, 3, 4, 3, 1, 1, 2, 4, 3, 2, 0, 4, 4, 2, 3]",200,0.75,1024
28,8,574.0,1815,0.12288179999450222,"[2, 4, 4, 2, 3, 2, 0, 1, 4, 4, 4, 3, 4, 4, 4, 3, 0, 3, 1, 4, 4, 4, 4, 4, 3, 4, 4, 4, 1, 4, 3, 4, 2, 4, 2, 0, 0, 4, 0, 3]",200,0.75,1024
29,16,614.0,3427,0.2276514999975916,"[4, 4, 4, 3, 1, 2, 3, 2, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 2, 4, 4, 4, 2, 4, 3, 1, 3, 4, 2, 2, 1, 2, 1, 4, 4, 3]",200,0.75,1024
30,32,649.0,6650,0.43718489998718724,"[4, 4, 3, 1, 1, 4, 0, 4, 3, 4, 4, 3, 4, 4, 4, 4, 2, 4, 2, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 0, 4, 2, 3, 0, 4, 2, 4]",200,0.75,1024
31,64,681.0,13092,0.8407122999924468,"[4, 4, 4, 0, 0, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 0, 4, 0, 4, 3, 4, 4, 4]",200,0.75,1024
32,128,684.0,25958,1.6470317999919644,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 3, 4, 4, 4]",200,0.75,1024
33,256,685.0,51687,3.2657910999987507,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 3, 4, 4, 4]",200,0.75,1024
34,512,685.0,103143,6.542298000000301,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 3, 4, 4, 4]",200,0.75,1024
35,1024,685.0,129474,8.240837899997132,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 3, 4, 4, 4]",200,0.75,1024
36,0,433.0,400,0.009496900005615316,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",400,0.25,1024
37,1,485.0,802,0.037663299997802824,"[2, 1, 3, 3, 2, 4, 2, 4, 4, 0, 1, 4, 4, 2, 3, 1, 1, 4, 4, 4, 0, 1, 3, 1, 3, 4, 3, 2, 4, 2, 3, 4, 2, 1, 4, 4, 2, 1, 4, 3]",400,0.25,1024
38,2,495.0,1204,0.06659649999346584,"[3, 4, 3, 1, 0, 4, 1, 2, 1, 4, 2, 1, 4, 4, 2, 0, 1, 3, 4, 4, 2, 1, 4, 1, 3, 1, 3, 4, 3, 4, 4, 4, 4, 2, 1, 1, 4, 3, 0, 4]",400,0.25,1024
39,4,530.0,2008,0.12079780000203755,"[4, 0, 4, 4, 0, 3, 2, 3, 3, 4, 0, 3, 2, 4, 3, 4, 4, 4, 1, 2, 3, 1, 4, 4, 4, 4, 2, 2, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 4]",400,0.25,1024
40,8,581.0,3614,0.2236233000003267,"[4, 0, 3, 4, 4, 2, 3, 4, 2, 4, 4, 4, 3, 4, 4, 3, 3, 3, 4, 0, 4, 2, 3, 4, 4, 3, 2, 3, 3, 4, 3, 3, 0, 2, 1, 4, 3, 2, 1, 4]",400,0.25,1024
41,16,632.0,6826,0.4236300000047777,"[4, 4, 4, 0, 2, 2, 2, 3, 4, 4, 2, 4, 3, 4, 3, 4, 4, 3, 2, 2, 3, 4, 3, 4, 4, 4, 4, 4, 1, 4, 3, 4, 0, 4, 0, 4, 4, 4, 3, 4]",400,0.25,1024
42,32,665.0,13246,0.8269765000004554,"[4, 4, 4, 0, 0, 4, 2, 4, 3, 2, 4, 4, 4, 4, 4, 3, 3, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 0, 2, 0, 4, 4, 4, 3, 4]",400,0.25,1024
43,64,685.0,26087,1.6280205999937607,"[4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 1, 4, 4, 4]",400,0.25,1024
