,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
10,512,1650.0,544,0.07372830001986586,"[4, 2, 4, 1, 0, 3, 3, 3, 4, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 4, 4, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 4, 4, 4, 4, 3, 1, 2, 4, 1, 4, 2, 4, 2, 4, 3, 4, 4, 4, 4, 3, 4, 3, 2, 4, 4, 3, 1, 1, 4, 4, 3, 3, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 1, 4, 2, 2, 2, 4, 3, 2]",25,1024,0
11,1024,1650.0,706,0.11104029999114573,"[4, 2, 4, 1, 0, 3, 3, 3, 4, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 4, 4, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 4, 4, 4, 4, 3, 1, 2, 4, 1, 4, 2, 4, 2, 4, 3, 4, 4, 4, 4, 3, 4, 3, 2, 4, 4, 3, 1, 1, 4, 4, 3, 3, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 1, 4, 2, 2, 2, 4, 3, 2]",25,1024,0
12,0,1069.0,706,0.11367670001345687,"[3, 4, 3, 4, 1, 3, 1, 1, 0, 3, 4, 0, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 3, 0, 2, 1, 1, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 2, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 0, 0, 1, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 3, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 2, 2, 0, 4, 1, 2, 2, 0, 1, 0, 0, 2, 1, 3, 2, 4]",25,1024,1
13,1,1071.0,708,0.11590570001862943,"[3, 4, 3, 4, 1, 3, 1, 1, 0, 3, 4, 0, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 3, 0, 2, 1, 1, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 2, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 2, 0, 1, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 3, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 2, 2, 0, 4, 1, 2, 2, 0, 1, 0, 0, 2, 1, 3, 2, 4]",25,1024,1
14,2,1071.0,709,0.11831170000368729,"[3, 4, 3, 4, 1, 3, 1, 1, 0, 3, 4, 0, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 3, 0, 2, 1, 1, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 2, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 2, 0, 1, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 3, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 2, 2, 0, 4, 1, 2, 2, 0, 1, 0, 0, 2, 1, 3, 2, 4]",25,1024,1
15,4,1073.0,712,0.12164349999511614,"[3, 4, 3, 4, 1, 3, 1, 1, 0, 3, 4, 1, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 3, 0, 2, 1, 1, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 2, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 2, 0, 1, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 3, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 2, 2, 0, 4, 1, 2, 2, 0, 1, 0, 0, 2, 1, 3, 2, 4]",25,1024,1
16,8,1090.0,719,0.1263160000089556,"[3, 4, 3, 4, 1, 3, 1, 1, 2, 3, 4, 1, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 3, 0, 2, 1, 4, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 3, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 2, 0, 1, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 3, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 2, 2, 0, 4, 1, 2, 2, 0, 1, 0, 0, 2, 1, 3, 2, 4]",25,1024,1
17,16,1134.0,731,0.13048270001308993,"[3, 4, 3, 4, 1, 3, 1, 1, 2, 3, 4, 1, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 4, 0, 2, 1, 4, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 3, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 2, 0, 1, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 3, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 2, 3, 0, 4, 1, 2, 2, 0, 3, 2, 0, 2, 1, 3, 2, 4]",25,1024,1
18,32,1178.0,752,0.13694160000886768,"[3, 4, 3, 4, 1, 3, 1, 1, 4, 3, 4, 1, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 0, 4, 0, 2, 1, 4, 3, 4, 2, 0, 4, 0, 3, 3, 2, 1, 1, 1, 3, 1, 4, 3, 4, 0, 2, 2, 2, 2, 1, 3, 0, 4, 0, 4, 0, 2, 0, 3, 1, 2, 3, 0, 1, 2, 3, 4, 3, 0, 4, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 4, 3, 0, 4, 1, 2, 2, 0, 3, 2, 2, 2, 1, 3, 2, 4]",25,1024,1
19,64,1232.0,794,0.14788810000754893,"[3, 4, 3, 4, 1, 3, 1, 1, 4, 3, 4, 2, 3, 4, 1, 4, 3, 4, 0, 2, 2, 3, 2, 3, 2, 1, 4, 0, 2, 1, 4, 3, 4, 2, 0, 4, 1, 3, 3, 2, 1, 2, 2, 3, 1, 4, 3, 4, 0, 2, 2, 2, 2, 3, 3, 4, 4, 0, 4, 0, 2, 0, 3, 1, 2, 3, 0, 1, 2, 3, 4, 3, 1, 4, 2, 2, 3, 1, 3, 1, 3, 4, 1, 3, 4, 3, 0, 4, 1, 2, 4, 0, 3, 2, 4, 2, 1, 3, 2, 4]",25,1024,1
