,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
34,512,203.0,102716,23.660504400002537,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
35,1024,203.0,102716,23.660504400002537,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
36,0,102.0,400,0.008987900000647642,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,400,0.25,1024
37,1,189.0,802,0.06080150000343565,"[4.0, 4.0, 0.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0]",False,400,0.25,1024
38,2,189.0,1203,0.11833099999057595,"[4.0, 4.0, 0.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0]",False,400,0.25,1024
39,4,204.0,2007,0.2273255999898538,"[4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0]",False,400,0.25,1024
40,8,207.0,3612,0.43202320000273176,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
41,16,207.0,6820,0.8304008999984944,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
42,32,207.0,13236,1.6238460000022314,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
43,64,207.0,26068,3.2088618999987375,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
44,128,207.0,51732,6.380877099989448,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
45,256,207.0,103060,12.73590119999426,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
46,512,207.0,203711,25.129264799994417,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
47,1024,207.0,203711,25.129264799994417,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,400,0.25,1024
48,0,102.0,400,0.009676799993030727,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,400,0.5,1024
49,1,185.0,802,0.0656845999910729,"[4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0]",False,400,0.5,1024
50,2,187.0,1204,0.1234307999984594,"[4.0, 4.0, 4.0, 2.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0]",False,400,0.5,1024
