,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.00037310000334400684,10.0,0.0,200,0.25,1024
1,1,0.009703500007162802,15.0,2.0,200,0.25,1024
2,2,0.018001400007051416,15.0,3.0,200,0.25,1024
3,3,0.026953000007779337,15.0,4.0,200,0.25,1024
4,4,0.03382690000580624,16.0,6.0,200,0.25,1024
5,5,0.04282899999816436,17.0,8.0,200,0.25,1024
6,6,0.04992260001017712,17.0,9.0,200,0.25,1024
7,7,0.05879320000531152,17.0,10.0,200,0.25,1024
8,8,0.0661174000124447,18.0,12.0,200,0.25,1024
9,9,0.07551999999850523,18.0,13.0,200,0.25,1024
10,10,0.08240060000389349,18.0,14.0,200,0.25,1024
11,11,0.09003620001021773,19.0,16.0,200,0.25,1024
12,0,0.00037310000334400684,10.0,0.0,200,0.5,1024
13,1,0.009703500007162802,15.0,2.0,200,0.5,1024
14,2,0.018001400007051416,17.0,4.0,200,0.5,1024
15,3,0.026953000007779337,17.0,5.0,200,0.5,1024
16,4,0.03382690000580624,17.0,6.0,200,0.5,1024
17,5,0.04282899999816436,17.0,7.0,200,0.5,1024
18,6,0.04992260001017712,17.0,8.0,200,0.5,1024
19,7,0.05879320000531152,18.0,10.0,200,0.5,1024
20,8,0.0661174000124447,18.0,11.0,200,0.5,1024
21,9,0.07551999999850523,18.0,12.0,200,0.5,1024
22,10,0.08240060000389349,18.0,13.0,200,0.5,1024
23,11,0.09003620001021773,19.0,15.0,200,0.5,1024
24,0,0.00037310000334400684,10.0,0.0,200,0.75,1024
25,1,0.009703500007162802,16.0,2.0,200,0.75,1024
26,2,0.018001400007051416,16.0,3.0,200,0.75,1024
27,3,0.026953000007779337,17.0,5.0,200,0.75,1024
28,4,0.03382690000580624,17.0,6.0,200,0.75,1024
29,5,0.04282899999816436,17.0,7.0,200,0.75,1024
30,6,0.04992260001017712,17.0,8.0,200,0.75,1024
31,7,0.05879320000531152,17.0,9.0,200,0.75,1024
32,8,0.0661174000124447,18.0,11.0,200,0.75,1024
33,9,0.07551999999850523,18.0,12.0,200,0.75,1024
34,10,0.08240060000389349,18.0,13.0,200,0.75,1024
35,11,0.09003620001021773,18.0,14.0,200,0.75,1024
36,12,0.0002519999979995191,18.0,15.0,200,0.75,1024
37,13,0.01006089999282267,19.0,17.0,200,0.75,1024
38,0,0.00037310000334400684,10.0,0.0,400,0.25,1024
39,1,0.009703500007162802,16.0,2.0,400,0.25,1024
40,2,0.018001400007051416,16.0,3.0,400,0.25,1024
41,3,0.026953000007779337,17.0,5.0,400,0.25,1024
42,4,0.03382690000580624,17.0,6.0,400,0.25,1024
43,5,0.04282899999816436,17.0,7.0,400,0.25,1024
44,6,0.04992260001017712,18.0,9.0,400,0.25,1024
45,7,0.05879320000531152,18.0,10.0,400,0.25,1024
46,8,0.0661174000124447,19.0,12.0,400,0.25,1024
47,0,0.00037310000334400684,10.0,0.0,400,0.5,1024
48,1,0.009703500007162802,17.0,2.0,400,0.5,1024
49,2,0.018001400007051416,17.0,3.0,400,0.5,1024
50,3,0.026953000007779337,17.0,4.0,400,0.5,1024
51,4,0.03382690000580624,18.0,6.0,400,0.5,1024
52,5,0.04282899999816436,18.0,7.0,400,0.5,1024
53,6,0.04992260001017712,18.0,8.0,400,0.5,1024
54,7,0.05879320000531152,18.0,9.0,400,0.5,1024
55,8,0.0661174000124447,19.0,11.0,400,0.5,1024
56,0,0.00037310000334400684,10.0,0.0,400,0.75,1024
57,1,0.009703500007162802,16.0,2.0,400,0.75,1024
58,2,0.018001400007051416,16.0,3.0,400,0.75,1024
59,3,0.026953000007779337,17.0,5.0,400,0.75,1024
60,4,0.03382690000580624,17.0,6.0,400,0.75,1024
61,5,0.04282899999816436,17.0,7.0,400,0.75,1024
62,6,0.04992260001017712,18.0,9.0,400,0.75,1024
63,7,0.05879320000531152,19.0,11.0,400,0.75,1024
64,0,0.00037310000334400684,10.0,0.0,600,0.25,1024
65,1,0.009703500007162802,17.0,2.0,600,0.25,1024
66,2,0.018001400007051416,17.0,3.0,600,0.25,1024
67,3,0.026953000007779337,17.0,4.0,600,0.25,1024
68,4,0.03382690000580624,17.0,5.0,600,0.25,1024
69,5,0.04282899999816436,18.0,7.0,600,0.25,1024
70,6,0.04992260001017712,18.0,8.0,600,0.25,1024
71,7,0.05879320000531152,19.0,10.0,600,0.25,1024
72,0,0.00037310000334400684,10.0,0.0,600,0.5,1024
73,1,0.009703500007162802,16.0,2.0,600,0.5,1024
74,2,0.018001400007051416,16.0,3.0,600,0.5,1024
75,3,0.026953000007779337,17.0,5.0,600,0.5,1024
76,4,0.03382690000580624,18.0,7.0,600,0.5,1024
77,5,0.04282899999816436,19.0,9.0,600,0.5,1024
78,0,0.00037310000334400684,10.0,0.0,600,0.75,1024
79,1,0.009703500007162802,16.0,2.0,600,0.75,1024
80,2,0.018001400007051416,17.0,4.0,600,0.75,1024
81,3,0.026953000007779337,17.0,5.0,600,0.75,1024
82,4,0.03382690000580624,17.0,6.0,600,0.75,1024
83,5,0.04282899999816436,18.0,8.0,600,0.75,1024
84,6,0.04992260001017712,19.0,10.0,600,0.75,1024
