,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
47,1024,0.0,2159,1.8931433999969158,"[7, 0, 4, 8, 1, 3, 6, 2, 9, 5]",25,1024,3
48,0,11.0,0,0.0005116999964229763,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",75,1024,0
49,1,11.0,1,0.006241700000828132,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",75,1024,0
50,2,9.0,3,0.012159599995356984,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",75,1024,0
51,4,9.0,5,0.018455899989930913,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",75,1024,0
52,8,9.0,9,0.026903699996182695,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",75,1024,0
53,16,9.0,17,0.034227399999508634,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",75,1024,0
54,32,4.0,35,0.04649159999098629,"[1, 5, 1, 8, 0, 7, 4, 2, 8, 2]",75,1024,0
55,64,3.0,68,0.06241020000015851,"[1, 5, 1, 6, 0, 7, 4, 2, 8, 2]",75,1024,0
56,128,3.0,132,0.08975689999351744,"[1, 5, 1, 6, 0, 7, 4, 2, 8, 2]",75,1024,0
57,256,3.0,260,0.14409329999762122,"[1, 5, 1, 6, 0, 7, 4, 2, 8, 2]",75,1024,0
58,512,2.0,517,0.2567071999947075,"[1, 5, 1, 6, 0, 7, 4, 1, 8, 2]",75,1024,0
59,1024,2.0,922,0.48458519999985583,"[1, 5, 1, 6, 0, 7, 4, 1, 8, 2]",75,1024,0
60,0,10.0,922,0.49360349999915343,"[7, 8, 9, 9, 2, 9, 9, 2, 8, 5]",75,1024,1
61,1,8.0,924,0.5014419999934034,"[7, 8, 4, 9, 2, 9, 9, 2, 8, 5]",75,1024,1
62,2,8.0,925,0.5109484999993583,"[7, 8, 4, 9, 2, 9, 9, 2, 8, 5]",75,1024,1
63,4,6.0,928,0.5193444999895291,"[7, 8, 4, 9, 2, 9, 9, 6, 8, 5]",75,1024,1
64,8,6.0,932,0.5308753999997862,"[7, 8, 4, 9, 2, 9, 9, 6, 8, 5]",75,1024,1
65,16,6.0,940,0.5449704999919049,"[7, 8, 4, 9, 2, 9, 9, 6, 8, 5]",75,1024,1
66,32,4.0,958,0.5634580999903847,"[7, 3, 4, 9, 2, 9, 9, 6, 8, 1]",75,1024,1
67,64,2.0,992,0.5919029999931809,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",75,1024,1
68,128,2.0,1056,0.6416381999879377,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",75,1024,1
69,256,2.0,1184,0.7477259000006597,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",75,1024,1
70,512,2.0,1440,0.9573521999991499,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",75,1024,1
71,1024,2.0,1470,0.9915020999906119,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",75,1024,1
72,0,10.0,1470,1.0005953999934718,"[0, 0, 8, 0, 4, 3, 3, 1, 1, 5]",75,1024,2
73,1,8.0,1472,1.0110791999904905,"[0, 0, 8, 0, 4, 8, 3, 1, 1, 5]",75,1024,2
