,0
0,0.18009556695802287
1,0.26319276954181114
2,0.30930666398723916
3,0.35005013376961147
4,0.3875495278013322
5,0.4234803120782318
6,0.4557342643127215
7,0.48718293062378293
8,0.5138149786608851
9,0.5397503038154713
10,0.5641824886002419
11,0.5860553572715319
12,0.6064691123828894
13,0.6244040797793501
14,0.6415154787621641
15,0.6573387142748616
16,0.6727573489857099
17,0.6873313643366622
18,0.7011616266808722
19,0.7141694867477394
20,0.726658388103752
21,0.7387058834125578
22,0.7500854188229925
23,0.7612375052503814
24,0.7718747295003275
25,0.7817371936624579
26,0.7914285361346912
27,0.8000421963599015
28,0.8084459541197858
29,0.8163757676316387
30,0.8241411317989743
31,0.8315401019025186
32,0.8385873749614049
33,0.8451165167356733
34,0.851301664828214
35,0.8573001785349391
36,0.862933934341182
37,0.8685059783995621
38,0.8739290794105302
39,0.8791851236430895
40,0.8842555893394991
41,0.8891804544425307
42,0.8937785263252626
43,0.8982953521526652
44,0.9025757809585898
45,0.9067608364858202
46,0.9108018738808648
47,0.914605998516683
48,0.9182641508066105
49,0.9217511958086941
50,0.9251316644000429
51,0.9284059781198082
52,0.9315656905203785
53,0.9346640356000495
54,0.9375891114218246
55,0.9404513689568618
56,0.943238081943929
57,0.9457973019696279
58,0.9483013023971127
59,0.9507418225046963
60,0.9530877272002535
61,0.9554005457696805
62,0.9576794018729977
63,0.9598503635350518
64,0.9619672955459643
65,0.9640076827593366
66,0.9659642354075467
67,0.9678388771972475
68,0.9696519699124503
69,0.9713222482274726
70,0.9729604236200589
71,0.974562328426987
72,0.9761147035997492
73,0.9775554882085945
74,0.9789659440320109
75,0.9803705217001963
76,0.981662849460708
77,0.9829154735275261
78,0.9841441262982912
79,0.9852968202686997
80,0.986387436933363
81,0.9874739954231176
82,0.9885328527023016
83,0.9894984640331826
84,0.9903820744776762
85,0.9912387348403032
86,0.9920394940453776
87,0.992797731135292
88,0.9935344512686233
89,0.9942173864952399
90,0.9948854158864506
91,0.9954636613716891
92,0.9959929499460711
93,0.9965057152032772
94,0.9969748738814268
95,0.997417039106921
96,0.9977867444589618
97,0.9981172299003714
98,0.9984187586615548
99,0.9986773897788237
100,0.9989154327256826
101,0.9991323320837457
102,0.999329394606165
103,0.9995150719258442
104,0.9996846818055288
105,0.9998491991045702
106,0.9999999999999997
107,0.9999999999999997
108,0.9999999999999997
109,0.9999999999999997
110,0.9999999999999997
111,0.9999999999999997
112,0.9999999999999997
113,0.9999999999999997
114,0.9999999999999997
115,0.9999999999999997
116,0.9999999999999997
117,0.9999999999999997
118,0.9999999999999997
119,0.9999999999999997
120,0.9999999999999997
121,0.9999999999999997
122,0.9999999999999997
123,0.9999999999999997
124,0.9999999999999997
125,0.9999999999999997
126,0.9999999999999997
127,0.9999999999999997
