,num_clusters,mean_fit_time,std_fit_time,mean_s_score,std_s_score,mean_v_score,std_v_score,mean_ch_score,std_ch_score,mean_ar_score,std_ar_score
0,5,0.19821520000696183,0.027744365828624575,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
1,6,0.18924601995386184,0.006395230228475912,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
2,7,0.22368204006925224,0.017625381158325567,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
3,8,0.26333955992013214,0.027823512083729338,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
4,9,0.2746415600180626,0.036779799517189876,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
5,10,0.27615157994441686,0.03770772669426805,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
6,11,0.3229757400229573,0.02863205227546971,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
7,12,0.3269679599441588,0.05048083950551914,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
8,13,0.3385886600706726,0.0444284513524401,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
9,14,0.3693440000526607,0.024403207977037274,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
10,15,0.3802601399831474,0.03270798506918655,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
11,16,0.44232761999592185,0.08206331071261715,0.9996830002867891,1.2412670766236366e-16,0.005171194140554782,0.0,542068.3346522102,0.0,-0.007086498725489945,9.69739903612216e-19
