,num_components,mean_recon_error,std_recon_error
0,2,0.15431350268890204,0.001073973997898208
1,7,0.14733910673276318,0.0043538564410432
2,12,0.1407412046279123,0.0035330417661141797
3,17,0.13601020681013187,0.0027323790349449485
4,22,0.129763028946134,0.0015280759147915214
5,27,0.12114700866466022,0.004393388871298801
6,32,0.11665164778554968,0.004582533561643424
7,37,0.11164548467533404,0.0038654728983566864
8,42,0.10236050248900948,0.002488633928870212
9,47,0.09907392896444742,0.0021467603997560284
10,52,0.0875204357644511,0.0049791207979692316
11,57,0.09007129164340658,0.0022255635785035015
12,62,0.08078538375833226,0.0028113390540312113
13,67,0.07734598411554014,0.0035709693580738924
14,72,0.06455505415845893,0.0033219197877881333
15,77,0.061231882340768096,0.0033106474510873085
16,82,0.05880325379037123,0.0032922474735416663
17,87,0.05014162112828273,0.0036142014224458635
18,92,0.0426466074221286,0.004891187915483933
19,97,0.03816391877726753,0.004656836019326969
20,102,0.03126904450479494,0.004891494346120747
21,107,0.025287979576059404,0.004010532044203769
22,112,0.019518026073922164,0.0022130478279903647
23,117,0.012505944999953653,0.0011215708946287987
24,122,0.008096565957521614,0.0018067826354943985
25,127,0.0010867806297244435,0.0004804776695948703
