,num_components,mean_kurtosis,std_kurtosis
0,2,5.164471430604234,2.735589313544211
1,7,4.966920283580052,8.930498465811164
2,12,7.253150512889121,14.99746430536157
3,17,7.3495671652776835,15.383080440724488
4,22,6.935129513716425,14.661629243530683
5,27,6.470507187073609,13.388441910148169
6,32,6.380398369490603,12.598710226871166
7,37,7.300780948896345,11.816829747181865
8,42,7.723236408638594,11.866442042740058
9,47,8.399297042715876,11.134730547459984
10,52,9.058016611660182,10.75375714933048
11,57,10.715928837133157,11.31449947640622
12,62,12.388859664857607,12.429185225320207
13,67,13.23346374104771,12.555643233654328
14,72,15.348083983702544,13.060827207209877
15,77,16.459234197160253,13.319468027129632
16,82,18.154847827555432,14.360141667398805
17,87,20.72893486224426,15.906344671211517
18,92,23.296285074511097,18.368386189539503
19,97,28.81154111010744,27.167729844828852
20,102,35.59468803782855,41.58642577338931
21,107,53.61862662855622,86.76003923200166
22,112,49.64862855720084,84.95901152713512
23,117,45.88522463194575,83.9921070229716
24,122,43.126410159915714,82.61490988084111
25,127,38.27956051658031,78.27087952282133
