,0
0,0.2754426044142344
1,0.502154061434358
2,0.6436401480763201
3,0.7318721552282303
4,0.7973153294056892
5,0.8525254849410636
6,0.9000853725053392
7,0.9456772170814437
8,0.9763157666625487
9,0.9970153816133841
10,1.0
