,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
3,5,full,28895.560013679613,178.68521856017728,0.2971187114715576,0.0910772662756913,0.0030024051666259766,0.0006439537790228983
2,4,full,28966.739683253818,330.1046533936796,0.17943377494812013,0.04628111878550424,0.0021983623504638673,0.0003981193534135729
4,6,full,29025.759202834328,298.1048716074648,0.3806574821472168,0.09860769779335957,0.0029999732971191405,0.0009008580612428821
5,7,full,29205.418767319905,216.77592603448608,0.4503328800201416,0.053348831634179604,0.0029813289642333985,0.0008839095764804321
6,8,full,29583.04556510647,239.02657570408627,0.5393848419189453,0.09033294913509331,0.0027980804443359375,0.0003887432588784584
1,3,full,29669.486248074267,909.6594970507116,0.14641823768615722,0.04149809745376112,0.0018011569976806641,0.0004013492104235568
7,9,full,29986.6392938487,297.6658498379527,0.5018446445465088,0.10728050247205115,0.002600574493408203,0.0007930413318355439
0,2,full,30075.222072420856,673.4864361349684,0.05376005172729492,0.013262415474093838,0.0031923770904541014,0.0015958905333566089
8,10,full,30543.017440168223,492.9619785482903,0.6499051094055176,0.14105640163880667,0.002997875213623047,0.0006301706947593175
9,11,full,30854.987715893563,421.1182333476532,0.6625486373901367,0.13225727484609182,0.004005718231201172,0.001680316741398015
